gene	symbol	gene.name	phenotype.summary
YOL030W	GAS5	Glycophospholipid-Anchored Surface protein	NA
YLR343W	GAS2	Glycophospholipid-Anchored Surface protein	NA
YER177W	BMH1	Brain Modulosignalin Homolog	Non-essential gene; null mutation results in increased frequency of gross chromosomal rearrangements, lengthened chronological lifespan, decreased sensitivity to desiccation and increased innate thermotolerance; null mutant is sensitive to hyperosmotic stress and resistant to oxidative stress; overexpression leads to slow growth

YDR099W	BMH2	Brain Modulosignalin Homolog	Non-essential gene; null mutation results in increased frequency of gross chromosomal rearrangements and lengthened chronological lifespan; null mutant is sensitive to selenite and resistant to selenomethionine; overexpression leads to slow growth and actin cytoskeleton abnormalities

YPR082C	DIB1	S. pombe DIm1+ in Budding yeast	Essential gene; conditional or reduction-of-function mutants show elevated chromosome instability, abnormal mitochondrial morphology and increased benomyl sensitivity

YIR022W	SEC11	SECretory	NA
YDR363W-A	SEM1	Suppressor of Exocyst Mutations	Non-essential gene; null mutant exhibits sensitivity to heat and UV, resistance to 4-NQO, and decreased nuclear export of poly(A)+ RNA; in large-scale studies, null mutant shows reduced competitive fitness in several different media, displays sensitivity to acid pH and desiccation, and has shortened telomeres; null mutant exhibits a respiratory growth defect at 37 deg C; null mutant has altered resistance to a variety of chemicals

YDL052C	SLC1	SphingoLipid Compensation	NA
YFR019W	FAB1	Forms Aploid and Binucleate cells	Non-essential gene; null mutant has defective vacuolar transport and morphology, and displays sensitivity to calcium and metal ions; defective chromosome segregation in the null mutant causes formation of aploid and binucleate cells; in large-scale studies, null mutant shows sensitivity to various chemicals

YHR063C	PAN5	PANtothenate biosynthesis	NA
YHR044C	DOG1	DeOxyGlucose	Non-essential gene; overexpression in strain CEN.PK increases resistance to ethanol and isobutanol; in systematic studies null mutation reduces vegetative growth rate and competitive fitness
YHR043C	DOG2	DeOxyGlucose	Non-essential gene; null mutation confers sensitivity to cadmium; in systematic studies mutant shows reduced anaerobic growth and increased competitive fitness
YBR026C	ETR1	2-Enoyl Thioester Reductase	NA
YML110C	COQ5	COenzyme Q	Non-essential gene; null mutant fails to respire and exhibits reduced chronological lifespan and sensitivity to linoleic acid; in large-scale studies, the null mutant shows reduced competitive fitness, sensitivity to desiccation and heat, reduced biofilm formation, and altered resistance to various chemicals

YEL071W	DLD3	D-Lactate Dehydrogenase	Non-essential gene; null mutant shows decreased levels of lactate, fumarate and malate, but increased levels of 2-hydroxyglutarate, 2-oxoglutarate and succinate; in systematic studies mutants are sensitive to hydrogen peroxide and show reduced growth rate
YPR006C	ICL2	IsoCitrate Lyase	NA
YOL125W	TRM13	TRna Methyltransferase	NA
YDL112W	TRM3	Transfer RNA Methyltransferase	NA
YBR061C	TRM7	Transfer RNA Methyltransferase	Non-essential gene; null mutant is sensitive to H2O2; trm7-A26P disease-analogous mutation causes reduced 2'-O-methylation of the anticodon loop of tRNA-Phe; in large-scale studies, the null mutant displays shorter chronological lifespan, decreased competitive fitness, poor growth on galactose, increased transposition of transposable elements, and altered resistance to a variety of chemicals

YDR487C	RIB3	RIBoflavin biosynthesis	NA
YIR002C	MPH1	Mutator PHenotype	NA
YDR291W	HRQ1	Homologous to RecQ protein	NA
YBL055C	NA	NA	NA
YML118W	NGL3	NA	NA
YMR287C	DSS1	Deletion of SUV3 Supressor	Non-essential gene; null mutant is incapable of respiratory growth on nonfermentable carbon sources; in competitive growth experiments homozygous null mutant diploids show decreased fitness and increased sensitivity to oxidative stress but increased resistance to chemicals that disrupt cell wall (caffeine, Calcofluor White), DNA (MMS, doxorubicin), and cytoskeleton (benomyl)
YGR276C	RNH70	RNase H	NA
YLR059C	REX2	Rna EXonuclease	NA
YDR035W	ARO3	AROmatic amino acid requiring	Non-essential gene; in systematic studies null mutant is sensitive to ethanol and shows decreased competitive fitness

YBR249C	ARO4	AROmatic amino acid requiring	Non-essential gene; in systematic studies null mutant shows decreased competitive fitness and decreased ability to utilize galactose as carbon source

YML126C	ERG13	ERGosterol biosynthesis	Essential gene; conditional (ts) mutations cause ergosterol auxotrophy at permissive temperatures; depletion leads to abnormal mitochondrial morphology; reduction-of-function mutations result in increased sensitivity to benomyl, hydroxyurea and rapamycin; overexpression causes slow growth and increased resistance to doxorubicin

YKR009C	FOX2	Fatty acid OXidation	Non-essential gene; mutants display sensitivity to oleic acid, palmitoleic acids, hygromycin B, Calcofluor White

YJR025C	BNA1	Biosynthesis of Nicotinic Acid	Non-essential gene; null mutant is auxotrophic for nicotinic acid and grows slowly; in systematic studies null mutants show increased sensitivity to His3p inhibitor amitrole and to calcium chelator BAPTA
YKL218C	SRY1	Serine Racemase of Yeast	NA
YDR036C	EHD3	NA	NA
YIL160C	POT1	Peroxisomal Oxoacyl Thiolase	NA
